id,date,meet,sess,plat,age_group_weight_category,weigh,weight_category,time,estimated_entry_totals_(min___max),gender,number_of_lifters
177,2026-03-06,2026 Virus Weightlifting Series 1,11,Blue,69kg & 63+kg I,15:00:00,,17:00:00,120-130,F,12
178,2026-03-06,2026 Virus Weightlifting Series 1,11,Stars,79kg B,15:00:00,,17:00:00,245-260,M,11
179,2026-03-06,2026 Virus Weightlifting Series 1,11,Stripes,88kg & 79+kg H,15:00:00,,17:00:00,205-209,M,12
180,2026-03-06,2026 Virus Weightlifting Series 1,12,Red,58kg A,17:00:00,,19:00:00,165-225,F,11
181,2026-03-06,2026 Virus Weightlifting Series 1,12,White,63kg A,17:00:00,,19:00:00,185-233,F,11
182,2026-03-06,2026 Virus Weightlifting Series 1,12,Blue,69kg & 63+kg H,17:00:00,,19:00:00,130-135,F,12
183,2026-03-06,2026 Virus Weightlifting Series 1,12,Stars,79kg A,17:00:00,,19:00:00,260-342,M,11
184,2026-03-06,2026 Virus Weightlifting Series 1,12,Stripes,88kg & 79+kg G,17:00:00,,19:00:00,210-215,M,12
185,2026-03-07,2026 Virus Weightlifting Series 1,13,Red,69kg & 63+kg G,06:00:00,,08:00:00,137-140,F,12
186,2026-03-07,2026 Virus Weightlifting Series 1,13,White,88kg & 79+kg F,06:00:00,,08:00:00,215-220,M,12
187,2026-03-07,2026 Virus Weightlifting Series 1,13,Blue,77kg & 69+kg L,06:00:00,,08:00:00,0-97,F,13
188,2026-03-07,2026 Virus Weightlifting Series 1,13,Stars,94kg I,06:00:00,,08:00:00,90-195,M,12
189,2026-03-07,2026 Virus Weightlifting Series 1,13,Stripes,110kg & 94+kg J,06:00:00,,08:00:00,0-180,M,11
191,2026-03-07,2026 Virus Weightlifting Series 1,14,Red,69kg & 63+kg F,08:00:00,,10:00:00,143-150,F,12
192,2026-03-07,2026 Virus Weightlifting Series 1,14,White,88kg & 79+kg E,08:00:00,,10:00:00,220-230,M,12
193,2026-03-07,2026 Virus Weightlifting Series 1,14,Blue,77kg & 69+kg K,08:00:00,,10:00:00,100-115,F,12
194,2026-03-07,2026 Virus Weightlifting Series 1,14,Stars,94kg H,08:00:00,,10:00:00,200-211,M,12
195,2026-03-07,2026 Virus Weightlifting Series 1,14,Stripes,110kg & 94+kg I,08:00:00,,10:00:00,180-201,M,11
196,2026-03-07,2026 Virus Weightlifting Series 1,15,Red,69kg & 63+kg E,10:00:00,,12:00:00,150-160,F,12
