id,date,session_id,start_time,weigh_in_time,platform,weight_class,meet
983,2025-10-19,6,11:00:00,09:00:00,Red,Men's F,2025 Carolina WSO Championships
984,2025-10-19,6,11:15:00,09:15:00,Blue,Men's E,2025 Carolina WSO Championships
985,2025-10-19,7,13:00:00,11:00:00,Red,Men's D,2025 Carolina WSO Championships
987,2025-10-19,8,15:00:00,13:00:00,Red,Men's B,2025 Carolina WSO Championships
988,2025-10-19,8,15:15:00,13:15:00,Blue,Men's A,2025 Carolina WSO Championships
