id,date,session_id,start_time,weigh_in_time,platform,weight_class,meet
181,2026-03-06,12,19:00:00,17:00:00,Stars,79kg A,2026 VIRUS Weightlifting Series 1
182,2026-03-06,12,19:00:00,17:00:00,Stripes,88kg & 79+kg G,2026 VIRUS Weightlifting Series 1
183,2026-03-07,13,08:00:00,06:00:00,Red,69kg & 63+kg G,2026 VIRUS Weightlifting Series 1
184,2026-03-07,13,08:00:00,06:00:00,White,88kg & 79+kg F,2026 VIRUS Weightlifting Series 1
185,2026-03-07,13,08:00:00,06:00:00,Blue,77kg & 69+kg L,2026 VIRUS Weightlifting Series 1
186,2026-03-07,13,08:00:00,06:00:00,Stars,94kg I,2026 VIRUS Weightlifting Series 1
187,2026-03-07,13,08:00:00,06:00:00,Stripes,110kg & 94+kg J,2026 VIRUS Weightlifting Series 1
188,2026-03-07,14,10:00:00,08:00:00,Red,69kg & 63+kg F,2026 VIRUS Weightlifting Series 1
189,2026-03-07,14,10:00:00,08:00:00,White,88kg & 79+kg E,2026 VIRUS Weightlifting Series 1
245,2026-03-07,14,10:00:00,08:00:00,Rogue,Top 8 Adaptive,2026 VIRUS Weightlifting Series 1
190,2026-03-07,14,10:00:00,08:00:00,Blue,77kg & 69+kg K,2026 VIRUS Weightlifting Series 1
191,2026-03-07,14,10:00:00,08:00:00,Stars,94kg H,2026 VIRUS Weightlifting Series 1
192,2026-03-07,14,10:00:00,08:00:00,Stripes,110kg & 94+kg I,2026 VIRUS Weightlifting Series 1
193,2026-03-07,15,12:00:00,10:00:00,Red,69kg & 63+kg E,2026 VIRUS Weightlifting Series 1
194,2026-03-07,15,12:00:00,10:00:00,White,88kg & 79+kg D,2026 VIRUS Weightlifting Series 1
195,2026-03-07,15,12:00:00,10:00:00,Blue,77kg & 69+kg J,2026 VIRUS Weightlifting Series 1
196,2026-03-07,15,12:00:00,10:00:00,Stars,94kg G,2026 VIRUS Weightlifting Series 1
197,2026-03-07,15,12:00:00,10:00:00,Stripes,110kg & 94+kg H,2026 VIRUS Weightlifting Series 1
198,2026-03-07,16,14:00:00,12:00:00,Red,69kg & 63+kg D,2026 VIRUS Weightlifting Series 1
199,2026-03-07,16,14:00:00,12:00:00,White,88kg & 79+kg C,2026 VIRUS Weightlifting Series 1
200,2026-03-07,16,14:00:00,12:00:00,Blue,77kg & 69+kg I,2026 VIRUS Weightlifting Series 1
201,2026-03-07,16,14:00:00,12:00:00,Stars,86kg & 77+kg G,2026 VIRUS Weightlifting Series 1
202,2026-03-07,16,14:00:00,12:00:00,Stripes,110kg & 94+kg G,2026 VIRUS Weightlifting Series 1
203,2026-03-07,17,16:00:00,14:00:00,Red,69kg & 63+kg C,2026 VIRUS Weightlifting Series 1
204,2026-03-07,17,16:00:00,14:00:00,White,88kg & 79+kg B,2026 VIRUS Weightlifting Series 1
205,2026-03-07,17,16:00:00,14:00:00,Blue,77kg & 69+kg H,2026 VIRUS Weightlifting Series 1
206,2026-03-07,17,16:00:00,14:00:00,Stars,94kg F,2026 VIRUS Weightlifting Series 1
207,2026-03-07,17,16:00:00,14:00:00,Stripes,86kg & 77+kg F,2026 VIRUS Weightlifting Series 1
208,2026-03-07,18,18:00:00,16:00:00,Red,69kg & 63+kg B,2026 VIRUS Weightlifting Series 1
209,2026-03-07,18,18:00:00,16:00:00,White,88kg & 79+kg A,2026 VIRUS Weightlifting Series 1
210,2026-03-07,18,18:00:00,16:00:00,Blue,77kg & 69+kg G,2026 VIRUS Weightlifting Series 1
211,2026-03-07,18,18:00:00,16:00:00,Stars,94kg E,2026 VIRUS Weightlifting Series 1
212,2026-03-07,18,18:00:00,16:00:00,Stripes,110kg & 94+kg F,2026 VIRUS Weightlifting Series 1
213,2026-03-07,19,20:00:00,18:00:00,Red,69kg & 63+kg A,2026 VIRUS Weightlifting Series 1
214,2026-03-07,19,20:00:00,18:00:00,White,86kg & 77+kg E,2026 VIRUS Weightlifting Series 1
215,2026-03-07,19,20:00:00,18:00:00,Blue,77kg & 69+kg F,2026 VIRUS Weightlifting Series 1
216,2026-03-07,19,20:00:00,18:00:00,Stars,94kg D,2026 VIRUS Weightlifting Series 1
217,2026-03-07,19,20:00:00,18:00:00,Stripes,110kg & 94+kg E,2026 VIRUS Weightlifting Series 1
218,2026-03-08,20,08:00:00,06:00:00,Red,110kg & 94+kg D,2026 VIRUS Weightlifting Series 1
219,2026-03-08,20,08:00:00,06:00:00,White,86+kg E,2026 VIRUS Weightlifting Series 1
220,2026-03-08,20,08:00:00,06:00:00,Blue,86kg & 77+kg D,2026 VIRUS Weightlifting Series 1
221,2026-03-08,20,08:00:00,06:00:00,Stars,77kg & 69+kg E,2026 VIRUS Weightlifting Series 1
